TRAIT,ANC,SLOPEMEAN,SEMEAN,SLOPESE,MAXVSLOPE,ZMEAN,ZSE
height,afr,0.00984835074945229,0.0152593947751836,0.0232886959423553,-0.00281789906445315,0.505657471925881,1.18971412601086
height,amr,0.0516957392967923,0.046303532884625,0.0351801898856085,0.0544459173095756,1.1632446213032,0.76565414920165
height,asj,-0.00688333875890947,0.109359901738837,0.0666499897221838,-0.00607992092526127,-0.0316615488749371,0.606363051091297
height,eas,0.0536937779194014,0.0756397267160627,0.0683092126188073,0.0339088942077388,0.722337780053252,0.873898860081012
height,fin,0.0965148817969287,0.172597931976573,0.07581366083182,0.0196867401263678,0.585712337766366,0.399591819785972
height,nfe,0.0152507308150587,0.0122132435678924,0.042085313197885,0.0501124446578913,0.817695374784729,1.37752823240804
height,sas,0.1509379308365,0.143887673408846,0.0825382333839624,0.0985789103004799,1.0783031312925,0.622826047385348
height,oth,0.0722266462620495,0.152556360893379,0.118208396506462,-0.00401111312765791,0.477977677794329,0.777188981167586
hip_circ,afr,0.000518759307001232,0.00526235640196074,0.00197721233156904,-0.00209625367175852,0.110254293009326,0.422204351897551
hip_circ,amr,0.0641431222898392,0.0244623604987863,0.0176473493878818,0.0313134351640841,2.75351775491169,0.9161219604657
hip_circ,asj,0.0467661369877454,0.0287146435640338,0.0177254190556457,0.0101732792655799,1.77387997745114,0.908924726090661
hip_circ,eas,0.0299924265809034,0.0309688432828985,0.0224754397699489,0.0106234007586878,0.999783722374069,0.704054488970708
hip_circ,fin,0.120064989116262,0.0532088717356726,0.0462536465362564,0.0608547794357049,2.56400024191945,1.30978502427366
hip_circ,nfe,-0.000963026685245016,0.00514577073306109,0.00289503738231836,0.00106201223583036,-0.250338755432013,0.466372185061601
hip_circ,sas,0.046964602327325,0.0478901074885032,0.0390240739206311,0.0675998352834892,0.972007424610551,0.758798229396978
hip_circ,oth,0.374702064548746,0.0675200249414097,0.0740546852748924,-0.0754005343781943,5.77002175627754,1.74297629920848
