"Pheno"	"Est"	"Err"	"R2"	"R2.adj"	"Sex"	"est_diff"	"err_sum"	"R2_diff"
"systolicBP_auto"	-292.384266209241	533.236179097385	0.0362206638081579	0.272411490106165	"female"	419.470906354352	633.658764886346	0.236190826298007
"albumin"	-7.51282277688453	6.45286544723852	0.144888475273577	0.161868974159349	"male"	59.5190398625785	62.171433844423	0.0169804988857717
"albumin"	52.0062170856939	55.7185683971845	0.0982039531502432	0.142308092330811	"female"	59.5190398625785	62.171433844423	0.0441041391805683
"pulse_rate"	-9.12872880711221	7.75918227130703	0.147500313607861	0.176301865864598	"male"	111.377166015445	50.3278562161762	0.0288015522567373
"pulse_rate"	102.248437208333	42.5686739448692	0.419002935410499	0.428248852048294	"female"	111.377166015445	50.3278562161762	0.00924591663779417
"urea"	-18.9023375330409	5.2098632839326	0.621994479310952	0.8073982739603	"male"	56.3782816660913	56.9841350310715	0.185403794649348
"urea"	37.4759441330504	51.7742717471389	0.0614662975022257	0.0931023696581	"female"	56.3782816660913	56.9841350310715	0.0316360721558743
"SHBG"	10.7880879036411	2.62936204904703	0.677861424259074	0.753391344847755	"male"	35.7032800041995	49.3322446141155	0.0755299205886805
"SHBG"	46.4913679078406	46.7028825650685	0.110217633859707	0.16410158781813	"female"	35.7032800041995	49.3322446141155	0.0538839539584233
"FVC_best"	98.0006278454943	89.0651007170254	0.131446539521707	0.198866797800752	"male"	37.2309234472597	499.867660113743	0.0674202582790455
"FVC_best"	135.231551292754	410.802559396718	0.0133646158007993	0.0303813023541427	"female"	37.2309234472597	499.867660113743	0.0170166865533434
"HbA1c"	-333.625307822736	97.678795454762	0.59320400016434	0.708100109129474	"male"	138.135392224998	691.88972927601	0.114896108965134
"HbA1c"	-471.760700047734	594.210933821248	0.0730357103427596	0.109385783921967	"female"	138.135392224998	691.88972927601	0.0363500735792072
