Phenotype	Beta	Err	R2	R2.Err	Sex	PGS_sex
protein_total	0.592104419166508	0.0252151501837081	0.0215820470857765	0.00152710285414005	0	M
protein_total	0.631418315523601	0.0253408499438149	0.0242343980312102	0.00200028260251288	1	M
protein_total	0.593816656460847	0.025140704639447	0.0218302556064523	0.00186912361640786	0	F
protein_total	0.644810994732226	0.0254036152137706	0.0251256438304613	0.00192197801781424	1	F
pulse_rate	1.46559570095656	0.0688633927147082	0.0177970292252366	0.00159091424774653	0	M
pulse_rate	1.58850964218045	0.0764495402229522	0.0169780537782096	0.00159967778048696	1	M
pulse_rate	1.77753483646016	0.0681248334256936	0.0265124862777863	0.0019859225273894	0	F
pulse_rate	1.72961414013221	0.076819053892125	0.0198763282656712	0.00154430291666578	1	F
RBC_count	0.0862973368763212	0.00207898881203189	0.0644818427573427	0.00297192213414011	0	M
RBC_count	0.0866622285275167	0.0022413763574992	0.0564286443687413	0.00300415634367603	1	M
RBC_count	0.0964524265285912	0.00205279136067075	0.0811478582148113	0.00366159785545447	0	F
RBC_count	0.095208814718036	0.00223620697288474	0.0676117026178262	0.002774049359434	1	F
SHBG	7.29813957928318	0.18888935501106	0.0563525863515858	0.00278647268809317	0	M
SHBG	5.39263166428187	0.0996349904877672	0.104893201195174	0.00361679675352919	1	M
SHBG	7.7371143014994	0.187864924868346	0.0635404626438366	0.00297621327390863	0	F
SHBG	5.0126602694501	0.100599168793976	0.0903478543109334	0.0037044099107404	1	F
systolicBP_auto	1.99597561002956	0.126667205740858	0.00983522474608103	0.00126418259281551	0	M
systolicBP_auto	1.55175918203763	0.116993201081869	0.006988379272021	0.00116791243939661	1	M
systolicBP_auto	2.42232316477032	0.127274473141398	0.0142832948639333	0.0015733575516033	0	F
systolicBP_auto	1.8956482745449	0.115965329916862	0.0105763594689286	0.00129418387348902	1	F
testosterone	0.00937736136794083	0.00395469470204045	0.000224870479471329	0.00020563054917381	0	M
testosterone	0.9268779056447	0.0224897310172402	0.0636240792874469	0.00312849225400851	1	M
testosterone	0.0558082004169744	0.00391916911680315	0.00804626224716041	0.00125397687132418	0	F
testosterone	0.00174154841334483	0.0233698276648445	2.22154300107963e-07	4.74024978058735e-05	1	F
urate	20.1987185558769	0.402647964992145	0.091460805636432	0.00335095684595051	0	M
urate	16.1199494813389	0.439243225797699	0.0511236180354002	0.00306059921670366	1	M
urate	20.9380496238928	0.401581557662286	0.0980814719003753	0.00355304593354917	0	F
urate	13.3437993107501	0.442504716030609	0.0350994636493328	0.00203175234949978	1	F
urea	0.130955002494038	0.00840192241869261	0.00962457242550737	0.00113481096036498	0	M
urea	0.174241247303756	0.00892722223815183	0.015010514576152	0.00138715024665339	1	M
urea	0.157321179508922	0.00836379172847377	0.0139559378525033	0.00161220893831889	0	F
urea	0.18339248970142	0.00894131123369417	0.016550363200324	0.00163111351159017	1	F
waist_circ	1.68236613586889	0.0776118362119934	0.0184498295356995	0.00178661344117063	0	M
waist_circ	1.91294326299492	0.071378881280107	0.027929127632363	0.00219898148099586	1	M
waist_circ	1.86788965123411	0.0779667664328539	0.0224449855624888	0.00204034023639235	0	F
waist_circ	1.68461689883366	0.0711316490853055	0.0219449495848169	0.00197378894351963	1	F
waist_to_hip	0.00678463072461911	0.000439667368866177	0.00943585591219036	0.00115657956171816	0	M
waist_to_hip	0.00768355277143668	0.000401712581417398	0.0144237522453354	0.00139651646734562	1	M
waist_to_hip	0.013405244551223	0.000434820962103033	0.0366283321075607	0.00244560820352395	0	F
waist_to_hip	0.00460404928030554	0.00040243364128259	0.00520856566790431	0.000894800544172595	1	F
weight	2.57145600183947	0.0857360881209746	0.0347353751884819	0.00253370360143161	0	M
weight	3.06819094465998	0.0896377832168417	0.0447698175970672	0.00268581008693681	1	M
weight	2.98144400350389	0.0860852796841757	0.045786336088026	0.00239046309388297	0	F
weight	2.86752986801027	0.0889642035893462	0.0399020835171785	0.00262779685955355	1	F
whole_body_fat_mass	1.62967726263137	0.0619948832132968	0.0268994846060403	0.00201667430878556	0	M
whole_body_fat_mass	1.48053214050716	0.0504755358253324	0.033271550463302	0.0021816686993456	1	M
whole_body_fat_mass	1.74730180532469	0.0611275968990179	0.0316510292510117	0.00264331628551252	0	F
